"","CSIScontractID","IDV","FxCb","Fee","Comp","Link","MDAP","unmodifiedSystemequipmentcode","Who","What","Intl","PSR","LowCeil","Ceil","Dur","SingleOffer","Offr","Soft","UCA","CRai","NChg","Veh","UnmodifiedNumberOfOffersReceived","Term","UnmodifiedContractBaseAndAllOptionsValue","SumOfisChangeOrder","pChangeOrderUnmodifiedBaseAndAll","pChangeOrderObligated","UnmodifiedDays","MinOfEffectiveDate","Action.Obligation","ContractCount","StartFiscalYear","UnmodifiedCompletionDate","EndAfterPeriod","Graph","TermNum"
"158925",24892777,"IDV","Fixed-Price","FFP or No Fee","Comp.","0","No label",NA,"Army","Facilities and Construction","Any International","Services","[30m+]","75m+","(~1 year,~2 years]","Multi","3-4","Not Software Eng.","Not UCA","[ 0.001, 0.150)","[   3,1040]","MULTIPLE AWARD",4,"Unterminated",1168765776,4,0.01282209,0.01265977,419,2008-08-08,1154095,1,2008,2009-10-01,FALSE,FALSE,0
"1804258",9883589,"IDV","Fixed-Price","FFP or No Fee","No Comp.","[1,750)","No label",NA,"Other DoD","Aircraft and Drones","Just U.S.","Products","[30m+]","75m+","[0 months,~2 months)","Single","1","Not Software Eng.","Not UCA","[-0.001, 0.001)","   0","SINGLE AWARD",1,"Unterminated",1165621740,0,0,0,19,2007-08-13,47421.35,1,2007,2007-09-01,FALSE,FALSE,0
"207465",9883588,"IDV","Fixed-Price","FFP or No Fee","No Comp.","[1,750)","No label",NA,"Other DoD","Aircraft and Drones","Just U.S.","Products","[30m+]","75m+","[~7 months-~1 year]","Single","1","Not Software Eng.","Not UCA","[-0.001, 0.001)","   0","SINGLE AWARD",1,"Unterminated",1165321740,0,0,0,353,2007-08-13,2424765,1,2007,2008-07-31,FALSE,FALSE,0
"2899638",9883587,"IDV","Fixed-Price","FFP or No Fee","No Comp.","[1,750)","No label",NA,"Air Force","Aircraft and Drones","Just U.S.","Products","[30m+]","75m+","[~2 months,~7 months)","Single","1","Not Software Eng.","Not UCA","[-0.001, 0.001)","   0","SINGLE AWARD",1,"Unterminated",1162319202,0,0,0,154.0417,2007-07-31,875000,1,2007,2008-01-01,FALSE,FALSE,0
"252529",9883605,"IDV","Fixed-Price","FFP or No Fee","No Comp.","[1,750)","No label",NA,"Air Force","Aircraft and Drones","Just U.S.","Products","[30m+]","75m+","[0 months,~2 months)","Single","1","Not Software Eng.","Not UCA","[-0.001, 0.001)","   0","SINGLE AWARD",1,"Unterminated",1161881702,0,0,0,54,2007-11-08,15425,1,2008,2008-01-01,FALSE,FALSE,0
"4731518",9883586,"IDV","Fixed-Price","FFP or No Fee","No Comp.","[1,750)","No label",NA,"Air Force","Aircraft and Drones","Just U.S.","Products","[30m+]","75m+","[~2 months,~7 months)","Single","1","Not Software Eng.","Not UCA","[-0.001, 0.001)","   0","SINGLE AWARD",1,"Unterminated",1161881702,0,0,0,160.0417,2007-07-25,17534,1,2007,2008-01-01,FALSE,FALSE,0
"2178931",9883585,"IDV","Fixed-Price","FFP or No Fee","No Comp.","[1,750)","No label",NA,"Air Force","Aircraft and Drones","Just U.S.","Products","[30m+]","75m+","[~2 months,~7 months)","Single","1","Not Software Eng.","Not UCA","[-0.001, 0.001)","   0","SINGLE AWARD",1,"Unterminated",1161426668,0,0,0,66,2007-07-27,1e+05,1,2007,2007-10-01,FALSE,FALSE,0
"1772051",9883583,"IDV","Fixed-Price","FFP or No Fee","No Comp.","[1,750)","No label",NA,"Air Force","Aircraft and Drones","Just U.S.","Products","[30m+]","75m+","[~2 months,~7 months)","Single","1","Not Software Eng.","Not UCA","[-0.001, 0.001)","   0","SINGLE AWARD",1,"Unterminated",1157736354,0,0,0,194.0417,2007-06-21,102877,1,2007,2008-01-01,FALSE,FALSE,0
"2201807",9883576,"IDV","Fixed-Price","FFP or No Fee","No Comp.","[1,750)","No label",NA,"Air Force","Aircraft and Drones","Just U.S.","Products","[30m+]","75m+","[~7 months-~1 year]","Single","1","Not Software Eng.","Not UCA","[-0.001, 0.001)","   0","SINGLE AWARD",1,"Unterminated",1154195055,0,0,0,253.0417,2007-04-23,820686,1,2007,2008-01-01,FALSE,FALSE,0
"1932380",9883580,"IDV","Fixed-Price","FFP or No Fee","No Comp.","[1,750)","No label",NA,"Air Force","Aircraft and Drones","Just U.S.","Products","[30m+]","75m+","[0 months,~2 months)","Single","1","Not Software Eng.","Not UCA","[-0.001, 0.001)","   0","SINGLE AWARD",1,"Unterminated",1153986687,0,0,0,33,2007-05-31,692572,1,2007,2007-07-03,FALSE,FALSE,0
"3571133",9883573,"IDV","Fixed-Price","FFP or No Fee","No Comp.","[1,750)","No label",NA,"Air Force","Aircraft and Drones","Just U.S.","Products","[30m+]","75m+","[~7 months-~1 year]","Single","1","Not Software Eng.","Not UCA","[-0.001, 0.001)","   0","SINGLE AWARD",1,"Unterminated",1152379133,0,0,0,220.0417,2007-05-25,27961,1,2007,2007-12-31,FALSE,FALSE,0
"1338453",9883572,"IDV","Fixed-Price","FFP or No Fee","No Comp.","[1,750)","No label",NA,"Air Force","Aircraft and Drones","Just U.S.","Products","[30m+]","75m+","[~2 months,~7 months)","Single","1","Not Software Eng.","Not UCA","[-0.001, 0.001)","   0","SINGLE AWARD",1,"Unterminated",1151936851,0,0,0,204,2007-03-13,122482,1,2007,2007-10-03,FALSE,FALSE,0
"2729155",24892178,"IDV","Fixed-Price","FFP or No Fee","Comp.","0","No label",NA,"Army","Facilities and Construction","Any International","Services","[30m+]","75m+","[~2 months,~7 months)","Multi","5+","Not Software Eng.","Not UCA","[ 0.001, 0.150)","   1","SINGLE AWARD",15,"Unterminated",1150002348,1,0.1250022,0.111113,177,2007-04-05,1124027,1,2007,2007-09-29,FALSE,FALSE,0
"4289368",9883570,"IDV","Fixed-Price","FFP or No Fee","No Comp.","[1,750)","No label",NA,"Air Force","Aircraft and Drones","Just U.S.","Products","[30m+]","75m+","[~7 months-~1 year]","Single","1","Not Software Eng.","Not UCA","[-0.001, 0.001)","   0","SINGLE AWARD",1,"Unterminated",1149686906,0,0,0,308,2007-02-27,181952,1,2007,2008-01-01,FALSE,FALSE,0
"2304229",9883569,"IDV","Fixed-Price","FFP or No Fee","No Comp.","[1,750)","No label",NA,"Air Force","Aircraft and Drones","Just U.S.","Products","[30m+]","75m+","[~7 months-~1 year]","Single","1","Not Software Eng.","Not UCA","[-0.001, 0.001)","   0","SINGLE AWARD",1,"Unterminated",1149467954,0,0,0,308,2007-02-27,161533,1,2007,2008-01-01,FALSE,FALSE,0
"3273515",9883568,"IDV","Fixed-Price","FFP or No Fee","No Comp.","[1,750)","No label",NA,"Other DoD","Aircraft and Drones","Just U.S.","Products","[30m+]","75m+","[~7 months-~1 year]","Single","1","Not Software Eng.","Not UCA","[-0.001, 0.001)","   0","SINGLE AWARD",1,"Unterminated",1149306421,0,0,0,314,2007-02-20,3124584,1,2007,2007-12-31,FALSE,FALSE,0
"2865925",24892768,"IDV","Fixed-Price","FFP or No Fee","Comp.","0","No label",NA,"Army","Facilities and Construction","Any International","Services","[30m+]","75m+","[~7 months-~1 year]","Multi","3-4","Not Software Eng.","Not UCA","[  -Inf,-0.001)","   1","MULTIPLE AWARD",4,"Unterminated",1147303536,1,-0.0439908,-0.04200236,246,2008-09-09,1171514,1,2008,2009-05-13,FALSE,FALSE,0
"422473",9883567,"IDV","Fixed-Price","FFP or No Fee","No Comp.","[1,750)","No label",NA,"Air Force","Aircraft and Drones","Just U.S.","Products","[30m+]","75m+","[~7 months-~1 year]","Single","1","Not Software Eng.","Not UCA","[-0.001, 0.001)","   0","SINGLE AWARD",1,"Unterminated",1145606421,0,0,0,330,2007-02-05,85386,1,2007,2008-01-01,FALSE,FALSE,0
"4280325",2141646,"Def/Pur","Fixed-Price","FFP or No Fee","No Comp.","0","No label",NA,"Other DoD","Other","Just U.S.","Services","[30m+]","75m+","(~2 years+]","Single","1","Not Software Eng.","Not UCA","[-0.001, 0.001)","   0","Def/Pur",1,"Unterminated",1131886330,0,0,0,1826,2008-10-01,1455203492,1,2009,2013-10-01,FALSE,FALSE,0
"744648",20425603,"IDV","Fixed-Price","Combination or Other Fee","Comp.","0","No label",NA,"Other DoD","Other","Just U.S.","Products","[30m+]","75m+","(~1 year,~2 years]","Multi","5+","Not Software Eng.","Not UCA","[-0.001, 0.001)","   1","SINGLE AWARD",16,"Unterminated",1130287795,1,3.621317e-06,3.623433e-06,407,2008-09-19,1129627552,1,2008,2009-10-31,FALSE,FALSE,0
"3901138",24893149,"IDV","Fixed-Price","FFP or No Fee","Comp.","0","No label",NA,"Army","Facilities and Construction","Any International","Services","[30m+]","75m+","(~1 year,~2 years]","Multi","5+","Not Software Eng.","Not UCA","[ 0.001, 0.150)","[   3,1040]","MULTIPLE AWARD",5,"Unterminated",1127437804,3,0.1268451,0.1125666,371,2009-09-25,1294976,1,2009,2010-10-01,FALSE,FALSE,0
"1920553",1424722,"Def/Pur","Cost-Based","FFP or No Fee","No Comp.","[1,750)","No label",NA,"Air Force","Other","Just U.S.","R&D","[30m+]","75m+","[~7 months-~1 year]","Single","1","Not Software Eng.","Not UCA","[-0.001, 0.001)","   0","Def/Pur",1,"Unterminated",1124005914,0,0,0,365,2010-10-01,325899734,1,2011,2011-10-01,FALSE,FALSE,0
"999169",9883566,"IDV","Fixed-Price","FFP or No Fee","No Comp.","[1,750)","No label",NA,"Air Force","Aircraft and Drones","Just U.S.","Products","[30m+]","75m+","[~7 months-~1 year]","Single","1","Not Software Eng.","Not UCA","[-0.001, 0.001)","   0","SINGLE AWARD",1,"Unterminated",1121988035,0,0,0,327,2007-02-07,23533000,1,2007,2007-12-31,FALSE,FALSE,0
"2066015",9883565,"IDV","Fixed-Price","FFP or No Fee","No Comp.","[1,750)","No label",NA,"Air Force","Aircraft and Drones","Just U.S.","Products","[30m+]","75m+","[~7 months-~1 year]","Single","1","Not Software Eng.","Not UCA","[-0.001, 0.001)","   0","SINGLE AWARD",1,"Unterminated",1121970501,0,0,0,334,2007-02-01,17534,1,2007,2008-01-01,FALSE,FALSE,0
"81587",9883563,"IDV","Fixed-Price","FFP or No Fee","No Comp.","[1,750)","No label",NA,"Air Force","Aircraft and Drones","Just U.S.","Products","[30m+]","75m+","[~7 months-~1 year]","Single","1","Not Software Eng.","Not UCA","[-0.001, 0.001)","   0","SINGLE AWARD",1,"Unterminated",1121719681,0,0,0,248.9583,2007-01-29,8189691,1,2007,2007-10-04,FALSE,FALSE,0
"688485",9883564,"IDV","Fixed-Price","FFP or No Fee","No Comp.","[1,750)","No label",NA,"Air Force","Aircraft and Drones","Just U.S.","Products","[30m+]","75m+","[~2 months,~7 months)","Single","1","Not Software Eng.","Not UCA","[-0.001, 0.001)","   0","SINGLE AWARD",1,"Unterminated",1121719681,0,0,0,133.9583,2007-01-18,250820,1,2007,2007-05-31,FALSE,FALSE,0
"4172428",9883562,"IDV","Fixed-Price","FFP or No Fee","No Comp.","[1,750)","No label",NA,"Air Force","Aircraft and Drones","Just U.S.","Products","[30m+]","75m+","[~7 months-~1 year]","Single","1","Not Software Eng.","Not UCA","[-0.001, 0.001)","   0","SINGLE AWARD",1,"Unterminated",1117187681,0,0,0,355,2007-01-11,140452,1,2007,2008-01-01,FALSE,FALSE,0
"2818501",9883561,"IDV","Fixed-Price","FFP or No Fee","No Comp.","[1,750)","No label",NA,"Air Force","Aircraft and Drones","Just U.S.","Products","[30m+]","75m+","[~7 months-~1 year]","Single","1","Not Software Eng.","Not UCA","[-0.001, 0.001)","   0","SINGLE AWARD",1,"Unterminated",1117047229,0,0,0,340,2007-01-26,419542,1,2007,2008-01-01,FALSE,FALSE,0
"2948094",24892352,"IDV","Fixed-Price","FFP or No Fee","Comp.","0","No label",NA,"Army","Facilities and Construction","Any International","Services","[30m+]","75m+","[0 months,~2 months)","Multi","5+","Not Software Eng.","Not UCA","[-0.001, 0.001)","   1","SINGLE AWARD",18,"Unterminated",1115968681,1,0,0,1,2008-09-30,1088010,1,2008,2008-10-01,FALSE,FALSE,0
"4026815",24892477,"IDV","Fixed-Price","FFP or No Fee","Comp.","0","No label",NA,"Army","Facilities and Construction","Any International","Services","[30m+]","75m+","(~1 year,~2 years]","Multi","5+","Not Software Eng.","Not UCA","[-0.001, 0.001)","   0","SINGLE AWARD",16,"Unterminated",1115514377,0,0,0,397,2007-08-24,969170,1,2007,2008-09-24,FALSE,FALSE,0
"385019",8660792,"Def/Pur","Cost-Based","Fixed Fee","No Comp.","[750+]","No label",NA,"Army","Other","Just U.S.","Services","[30m+]","75m+","[~2 months,~7 months)","Single","1","Not Software Eng.","Not UCA","[-0.001, 0.001)","   0","Def/Pur",1,"Terminated",1089659780,0,0,0,91.04167,2011-09-07,157452097,1,2011,2011-12-07,FALSE,TRUE,1
"27337",24893292,"IDV","Fixed-Price","FFP or No Fee","Comp.","0","No label",NA,"Army","Facilities and Construction","Any International","Services","[30m+]","75m+","[~7 months-~1 year]","Multi","5+","Not Software Eng.","Not UCA","[-0.001, 0.001)","   0","SINGLE AWARD",15,"Unterminated",1079502166,0,0,0,364,2011-07-22,1004859.0797,1,2011,2012-07-20,FALSE,FALSE,0
"355493",24893046,"IDV","Fixed-Price","FFP or No Fee","Comp.","0","No label",NA,"Army","Facilities and Construction","Any International","Services","[30m+]","75m+","[~2 months,~7 months)","Multi","5+","Not Software Eng.","Not UCA","[-0.001, 0.001)","   0","SINGLE AWARD",8,"Unterminated",1079279511,0,0,0,115,2009-06-08,1224239,1,2009,2009-10-01,FALSE,FALSE,0
"734410",24893403,"IDV","Fixed-Price","FFP or No Fee","Comp.","0","No label",NA,"Army","Facilities and Construction","Any International","Services","[30m+]","75m+","[~7 months-~1 year]","Multi","5+","Not Software Eng.","Not UCA","[ 0.150,   Inf]","[   3,1040]","SINGLE AWARD",10,"Unterminated",1066670965,5,0.1511719,0.1342066,365,2010-09-28,911201.7,1,2010,2011-09-28,FALSE,FALSE,0
"839936",17550109,"IDV","Fixed-Price","FFP or No Fee","Comp.","[1,750)","No label",NA,"Army","Electronics and Communications","Just U.S.","Products","[30m+]","75m+","(~1 year,~2 years]","Single","1","Not Software Eng.","Not UCA","[-0.001, 0.001)","   0","Other IDV",1,"Terminated",1058058423,0,0,0,439,2007-06-05,0,1,2007,2008-08-17,FALSE,TRUE,1
"21681",24563040,"IDV","Fixed-Price","FFP or No Fee","Comp.","[750+]","No label",NA,"Army","Land Vehicles","Just U.S.","Products","[30m+]","75m+","(~1 year,~2 years]","Multi","5+","Not Software Eng.","Not UCA","[ 0.150,   Inf]","[   3,1040]","MULTIPLE AWARD",5,"Unterminated",1055910053,45,0.753682256210132,0.230439128601332,367,2009-06-30,3453496270.0575,1,2009,2010-07-02,FALSE,FALSE,0
"4482331",9883558,"IDV","Fixed-Price","FFP or No Fee","No Comp.","[1,750)","No label",NA,"Air Force","Aircraft and Drones","Just U.S.","Products","[30m+]","75m+","[~7 months-~1 year]","Single","1","Not Software Eng.","Not UCA","[-0.001, 0.001)","   0","SINGLE AWARD",1,"Unterminated",1050264713,0,0,0,215.9583,2006-11-27,550171,1,2007,2007-06-30,FALSE,FALSE,0
"1135332",9883557,"IDV","Fixed-Price","FFP or No Fee","No Comp.","[1,750)","No label",NA,"Air Force","Aircraft and Drones","Just U.S.","Products","[30m+]","75m+","[~2 months,~7 months)","Single","1","Not Software Eng.","Not UCA","[-0.001, 0.001)","   0","SINGLE AWARD",1,"Unterminated",1049714542,0,0,0,178.9583,2006-11-03,460000,1,2007,2007-04-30,FALSE,FALSE,0
"3361544",18631082,"IDV","Fixed-Price","FFP or No Fee","Comp.","[1,750)","No label",NA,"Navy","Land Vehicles","Just U.S.","Products","[30m+]","75m+","[~7 months-~1 year]","Multi","5+","Not Software Eng.","Not UCA","[ 0.001, 0.150)","[   3,1040]","SINGLE AWARD",10,"Unterminated",1048495692,3,0.01535,0.009071714,220.9583,2007-12-18,1451214274,1,2008,2008-07-25,FALSE,FALSE,0
"3420307",24893041,"IDV","Fixed-Price","FFP or No Fee","Comp.","0","No label",NA,"Army","Facilities and Construction","Any International","Services","[30m+]","75m+","[~2 months,~7 months)","Multi","5+","Not Software Eng.","Not UCA","[ 0.001, 0.150)","   2","SINGLE AWARD",8,"Unterminated",1043101058,2,0.04224135,0.04052935,183,2009-04-01,1108152,1,2009,2009-10-01,FALSE,FALSE,0
"1292446",2141647,"Def/Pur","Fixed-Price","FFP or No Fee","No Comp.","0","No label",NA,"Other DoD","Other","Just U.S.","Services","[30m+]","75m+","(~2 years+]","Single","1","Not Software Eng.","Not UCA","[-0.001, 0.001)","   0","Def/Pur",1,"Unterminated",1034635150,0,0,0,1826,2008-10-01,1314252700,1,2009,2013-10-01,FALSE,FALSE,0
"44953",24625061,"IDV","Fixed-Price","FFP or No Fee","Comp.","[1,750)","No label",NA,"Army","Aircraft and Drones","Just U.S.","Products","[30m+]","75m+","[0 months,~2 months)","Multi","5+","Not Software Eng.","Not UCA","[-0.001, 0.001)","   0","SINGLE AWARD",6,"Unterminated",1026910850,0,0,0,1,2009-09-23,10269108.5,1,2009,2009-09-24,FALSE,FALSE,0
"2536298",9883556,"IDV","Cost-Based","Fixed Fee","No Comp.","[1,750)","No label",NA,"Other DoD","Aircraft and Drones","Just U.S.","Products","[30m+]","75m+","(~2 years+]","Single","1","Not Software Eng.","Not UCA","[-0.001, 0.001)","   0","SINGLE AWARD",1,"Unterminated",1016766981,0,0,0,734,2006-12-29,31690960,1,2007,2009-01-01,FALSE,FALSE,0
"2978726",9883555,"IDV","Cost-Based","Fixed Fee","No Comp.","[1,750)","Labeled MDAP","370","Other DoD","Missile and Space Systems","Just U.S.","Products","[30m+]","75m+","(~1 year,~2 years]","Single","1","Not Software Eng.","Not UCA","[-0.001, 0.001)","   0","SINGLE AWARD",1,"Unterminated",1016766981,0,0,0,425,2006-11-01,3157465,1,2007,2007-12-31,FALSE,FALSE,0
"4382036",9883554,"IDV","Fixed-Price","FFP or No Fee","No Comp.","[1,750)","No label",NA,"Air Force","Aircraft and Drones","Just U.S.","Products","[30m+]","75m+","(~1 year,~2 years]","Single","1","Not Software Eng.","Not UCA","[-0.001, 0.001)","   0","SINGLE AWARD",1,"Unterminated",1016437231,0,0,0,433.0417,2006-10-24,329750,1,2007,2007-12-31,FALSE,FALSE,0
"3696438",9883553,"IDV","Fixed-Price","FFP or No Fee","No Comp.","[1,750)","No label",NA,"Air Force","Aircraft and Drones","Just U.S.","Products","[30m+]","75m+","[~7 months-~1 year]","Single","1","Not Software Eng.","Not UCA","[-0.001, 0.001)","   0","SINGLE AWARD",1,"Unterminated",1016437141,0,0,0,255,2006-10-19,1200000,1,2007,2007-07-01,FALSE,FALSE,0
"3456292",9883552,"IDV","Fixed-Price","FFP or No Fee","No Comp.","[1,750)","No label",NA,"Air Force","Aircraft and Drones","Just U.S.","Products","[30m+]","75m+","(~1 year,~2 years]","Single","1","Not Software Eng.","Not UCA","[-0.001, 0.001)","   0","SINGLE AWARD",1,"Unterminated",1014070524,0,0,0,441.0417,2006-10-16,1166707,1,2007,2007-12-31,FALSE,FALSE,0
"4000187",9883551,"IDV","Fixed-Price","FFP or No Fee","No Comp.","[1,750)","No label",NA,"Air Force","Aircraft and Drones","Just U.S.","Products","[30m+]","75m+","[~2 months,~7 months)","Single","1","Not Software Eng.","Not UCA","[-0.001, 0.001)","   0","SINGLE AWARD",1,"Unterminated",1014070434,0,0,0,208,2006-10-05,289343,1,2007,2007-05-01,FALSE,FALSE,0
"3642079",24892779,"IDV","Fixed-Price","FFP or No Fee","Comp.","0","No label",NA,"Army","Facilities and Construction","Any International","Services","[30m+]","75m+","(~1 year,~2 years]","Multi","3-4","Not Software Eng.","Not UCA","[ 0.150,   Inf]","[   3,1040]","MULTIPLE AWARD",4,"Unterminated",1011478330,3,0.4986228,0.3152933,371,2008-09-25,1529808,1,2008,2009-10-01,FALSE,FALSE,0
"4184583",20426694,"IDV","Fixed-Price","Combination or Other Fee","Comp.","0","No label",NA,"Other DoD","Other","Any International","Products","[30m+]","75m+","(~2 years+]","Multi","5+","Not Software Eng.","Not UCA","[-0.001, 0.001)","   0","SINGLE AWARD",6,"Unterminated",1011173965,0,0,0,845.0417,2009-09-08,1051290515,1,2009,2012-01-01,FALSE,FALSE,0
"224862",24892480,"IDV","Fixed-Price","FFP or No Fee","Comp.","0","No label",NA,"Army","Facilities and Construction","Any International","Services","[30m+]","75m+","[~7 months-~1 year]","Multi","5+","Not Software Eng.","Not UCA","[ 0.001, 0.150)","   2","SINGLE AWARD",16,"Unterminated",1008680048,2,0.01285237,0.01160125,365,2007-08-30,970860.1,1,2007,2008-08-29,FALSE,FALSE,0
"1452337",9883541,"IDV","Fixed-Price","FFP or No Fee","No Comp.","[1,750)","No label",NA,"Air Force","Aircraft and Drones","Just U.S.","Products","[30m+]","75m+","[~2 months,~7 months)","Single","1","Not Software Eng.","Not UCA","[-0.001, 0.001)","   0","SINGLE AWARD",1,"Unterminated",1003583990,0,0,0,202,2006-10-11,2583570,1,2007,2007-05-01,FALSE,FALSE,0
"3931301",9197682,"IDV","Cost-Based","Fixed Fee","No Comp.","[750+]","No label",NA,"Army","Missile and Space Systems","Just U.S.","Products","[30m+]","75m+","(~1 year,~2 years]","Single","1","Not Software Eng.","Not UCA","[-0.001, 0.001)","   0","SINGLE AWARD",1,"Unterminated",1e+09,0,0,0,388,2006-11-08,96240.21,1,2007,2007-12-01,FALSE,FALSE,0
"4077573",1245151,"Def/Pur","Fixed-Price","FFP or No Fee","No Comp.","0","No label",NA,"Air Force","Facilities and Construction","Any International","Products","[30m+]","75m+",NA,"Single","1","Not Software Eng.","Not UCA","[-0.001, 0.001)","   0","SINGLE AWARD",1,"Unterminated",1e+09,0,0,0,NA,2008-05-30,0,1,2008,NA,NA,FALSE,0
"880875",1351995,NA,"Fixed-Price","FFP or No Fee","Comp.","0","No label",NA,"Air Force","Other","Any International","Services","[30m+]","75m+",NA,"Multi","5+","Not Software Eng.","Not UCA","[-0.001, 0.001)","   0","MULTIPLE AWARD",26,"Terminated",9.92e+08,0,0,0,NA,2011-12-21,0,1,2012,NA,NA,TRUE,1
"3465675",7935516,"Def/Pur","Fixed-Price","FFP or No Fee","No Comp.","[750+]","Labeled MDAP","106","Army","Missile and Space Systems","Just U.S.","Products","[30m+]","75m+","(~2 years+]","Single","1","Not Software Eng.","Not UCA","[ 0.001, 0.150)","[   3,1040]","Def/Pur",1,"Unterminated",968727585,19,0.01371718,0.0135349,1067,2009-12-30,981773967,1,2010,2012-12-01,FALSE,FALSE,0
"3190876",20424509,"IDV","Fixed-Price","Combination or Other Fee","Comp.","0","No label",NA,"Other DoD","Other","Just U.S.","Products","[30m+]","75m+","(~1 year,~2 years]","Multi","5+","Not Software Eng.","Not UCA","[-0.001, 0.001)","   0","SINGLE AWARD",21,"Unterminated",967043238,0,0,0,407,2007-03-21,966960726,1,2007,2008-05-01,FALSE,FALSE,0
"3587625",24893106,"IDV","Fixed-Price","FFP or No Fee","Comp.","0","No label",NA,"Army","Facilities and Construction","Any International","Services","[30m+]","75m+","(~1 year,~2 years]","Multi","5+","Not Software Eng.","Not UCA","[ 0.150,   Inf]","[   3,1040]","MULTIPLE AWARD",5,"Unterminated",949804347,18,0.1741771,0.1482375,366,2009-09-30,1137554,1,2009,2010-10-01,FALSE,FALSE,0
"4509395",24892778,"IDV","Fixed-Price","FFP or No Fee","Comp.","0","No label",NA,"Army","Facilities and Construction","Any International","Services","[30m+]","75m+","(~1 year,~2 years]","Multi","3-4","Not Software Eng.","Not UCA","[ 0.150,   Inf]","[   3,1040]","MULTIPLE AWARD",4,"Unterminated",940622674,4,0.2177869,0.1788382,490.0417,2008-09-03,1116780,1,2008,2010-01-06,FALSE,FALSE,0
"1462541",24893203,"IDV","Fixed-Price","FFP or No Fee","Comp.","0","No label",NA,"Army","Facilities and Construction","Any International","Services","[30m+]","75m+","(~1 year,~2 years]","Multi","5+","Not Software Eng.","Not UCA","[  -Inf,-0.001)","   1","SINGLE AWARD",8,"Unterminated",929328195,1,-0.0231967,-0.02374756,366,2010-09-30,761827,1,2010,2011-10-01,FALSE,FALSE,0
"1509723",20425540,"IDV","Fixed-Price","Combination or Other Fee","No Comp.","0","No label",NA,"Other DoD","Other","Any International","Products","[30m+]","75m+","(~2 years+]","Single","1","Not Software Eng.","Not UCA","[-0.001, 0.001)","   0","SINGLE AWARD",1,"Unterminated",918256500,0,0,0,851.0417,2007-10-03,918256500,1,2008,2010-01-31,FALSE,FALSE,0
"4723996",10083231,"IDV","Fixed-Price","FFP or No Fee","No Comp.","[750+]","No label",NA,"Air Force","Electronics and Communications","Just U.S.","Services","[30m+]","75m+","[~2 months,~7 months)","Single","1","Not Software Eng.","Not UCA","[-0.001, 0.001)","   0","SINGLE AWARD",1,"Terminated",916133700,0,0,0,87.95833,2006-12-29,9146979,1,2007,2007-03-26,FALSE,TRUE,1
"1912303",8496603,"Def/Pur","Fixed-Price","FFP or No Fee","Comp.","0","No label",NA,"Army","Facilities and Construction","Any International","Services","[30m+]","75m+","(~1 year,~2 years]","Single","1","Not Software Eng.","Not UCA","[ 0.001, 0.150)","   2","Def/Pur",1,"Unterminated",903031943,2,0.02644646,0.02576506,474,2012-06-14,908739.2,1,2012,2013-10-01,FALSE,FALSE,0
"438004",24893311,"IDV","Fixed-Price","FFP or No Fee","Comp.","0","No label",NA,"Army","Facilities and Construction","Any International","Services","[30m+]","75m+","(~1 year,~2 years]","Multi","5+","Not Software Eng.","Not UCA","[-0.001, 0.001)","   1","SINGLE AWARD",15,"Unterminated",886297430,1,0,0,551,2012-03-29,806077.9,1,2012,2013-10-01,FALSE,FALSE,0
"620398",8353243,NA,"Fixed-Price","Combination or Other Fee","No Comp.","[750+]","No label",NA,"Army","Electronics and Communications","Any International","Products","[30m+]","75m+",NA,"Single","1","Not Software Eng.","Not UCA","[ 0.150,   Inf]","[   3,1040]","SINGLE AWARD",1,"Terminated",8.75e+08,4,0.25,NA,NA,2009-07-13,0,1,2009,NA,NA,TRUE,1
"4864709",24893145,"IDV","Fixed-Price","FFP or No Fee","Comp.","0","No label",NA,"Army","Facilities and Construction","Any International","Services","[30m+]","75m+","(~1 year,~2 years]","Multi","5+","Not Software Eng.","Not UCA","[ 0.001, 0.150)","[   3,1040]","MULTIPLE AWARD",5,"Unterminated",873251942,5,0.1334254,0.1177187,379,2009-09-17,1008875,1,2009,2010-10-01,FALSE,FALSE,0
"1163658",24893147,"IDV","Fixed-Price","FFP or No Fee","Comp.","0","No label",NA,"Army","Facilities and Construction","Any International","Services","[30m+]","75m+","(~1 year,~2 years]","Multi","5+","Not Software Eng.","Not UCA","[  -Inf,-0.001)","   1","MULTIPLE AWARD",5,"Unterminated",860339203,1,-0.8486395,-5.606742,372,2009-09-24,132735.5,1,2009,2010-10-01,FALSE,FALSE,0
"241957",10070856,"IDV","Fixed-Price","FFP or No Fee","No Comp.","[750+]","Labeled MDAP","125","Air Force","Aircraft and Drones","Just U.S.","Products","[30m+]","75m+","[~7 months-~1 year]","Single","1","Not Software Eng.","Not UCA","[-0.001, 0.001)","   0","SINGLE AWARD",1,"Unterminated",8.6e+08,0,0,0,217,2007-03-29,10366.73,1,2007,2007-11-01,FALSE,FALSE,0
"197670",25155560,NA,"Fixed-Price","FFP or No Fee","Comp.","[1,750)","No label",NA,"Air Force","Other","Any International","Services","[30m+]","75m+",NA,"Multi","5+","Not Software Eng.","Not UCA","[-0.001, 0.001)","   0","MULTIPLE AWARD",11,"Terminated",8.51e+08,0,0,0,NA,2012-10-15,0,1,2013,NA,NA,TRUE,1
